gameId,playId,catchingReceiver,closestCorner,catchSeparation,offense,defense,xReceiverMate1,yReceiverMate1,xReceiverMate2,yReceiverMate2,xReceiverMate3,yReceiverMate3,xReceiverMate4,yReceiverMate4,xcatchingReceiverRoute,ycatchingReceiverRoute,down,yardsToGo,offenseFormation,defendersInTheBox,numberOfPassRushers,personnel.defense,personnel.offense
2017091004,73,Larry Fitzgerald,Quandre Diggs,4.7309195723453215,away,home,short,stop,short,flat,short,flat,short,stop,short,stop,1,10,SHOTGUN,6.0,4.0,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,118,David Johnson,Jarrad Davis,3.889730067755349,away,home,short,slant,short,slant,medium,in,short,slant,short,stop,3,4,SHOTGUN,5.0,4.0,"4 DL, 1 LB, 6 DB","1 RB, 0 TE, 4 WR"
2017091004,337,Ameer Abdullah,Antoine Bethea,1.7051099671282186,home,away,short,slant,short,stop,short,flat,short,stop,short,stop,2,10,EMPTY,5.0,4.0,"3 DL, 3 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,408,David Johnson,Paul Worrilow,4.107748775180876,away,home,short,flat,short,stop,short,flat,short,flat,short,stop,1,10,EMPTY,6.0,5.0,"4 DL, 4 LB, 3 DB","1 RB, 3 TE, 1 WR"
2017091004,533,Theo Riddick,Antoine Bethea,4.118992595283462,home,away,short,flat,medium,out,short,flat,medium,in,short,flat,2,17,SHOTGUN,6.0,4.0,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,757,David Johnson,Glover Quin,3.386620734596656,away,home,short,stop,short,slant,short,slant,short,flat,short,flat,1,5,SINGLEBACK,8.0,6.0,"4 DL, 3 LB, 4 DB","1 RB, 2 TE, 2 WR"
2017091004,802,Jermaine Gresham,Miles Killebrew,3.810682353594956,away,home,short,flat,short,stop,short,stop,short,slant,short,stop,3,2,SHOTGUN,7.0,4.0,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,921,Theo Riddick,Josh Bynes,1.5651836952894709,home,away,short,stop,medium,out,short,stop,short,slant,short,flat,3,2,SHOTGUN,6.0,3.0,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,1030,Golden Tate,Justin Bethel,2.7011849251763564,home,away,medium,out,short,flat,short,flat,short,slant,medium,in,3,7,SHOTGUN,6.0,4.0,"2 DL, 3 LB, 6 DB","1 RB, 2 TE, 2 WR"
2017091004,1086,Golden Tate,Haason Reddick,0.7694153624668503,home,away,short,stop,short,flat,short,flat,short,stop,short,slant,2,7,SHOTGUN,6.0,4.0,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,1110,Theo Riddick,Haason Reddick,2.570311265197267,home,away,short,slant,short,slant,short,stop,short,stop,short,flat,3,1,EMPTY,5.0,4.0,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR"
2017091004,1200,Larry Fitzgerald,Quandre Diggs,5.947512084897349,away,home,short,flat,medium,out,short,slant,short,stop,short,stop,3,7,SHOTGUN,6.0,6.0,"4 DL, 1 LB, 6 DB","1 RB, 1 TE, 3 WR"
2017091004,1363,Ameer Abdullah,Haason Reddick,3.04566905621737,home,away,short,slant,short,slant,short,flat,short,stop,short,flat,2,15,SHOTGUN,6.0,4.0,"2 DL, 4 LB, 5 DB","1 RB, 1 TE, 3 WR"
